order_id,customer_id,product,volume_ton,revenue_usd,date,origin_port,destination_port
1,101,Soy,35,35000,2026-01-10,Santos,Shanghai
2,102,Corn,10,10000,2026-01-15,Paranagua,Hamburg
3,101,Wheat,20,20000,2026-01-20,Santos,Dublin
4,103,Sugar,12,12000,2026-02-05,Rio Grande,Rotterdam
5,104,Soy,34,34000,2026-02-10,Santos,Shanghai
6,102,Corn,11,11000,2026-02-18,Paranagua,Hamburg
7,105,Wheat,25,25000,2026-03-02,Itaqui,London
8,101,Soy,40,40000,2026-03-12,Santos,Shanghai
9,103,Sugar,15,15000,2026-03-20,Rio Grande,Rotterdam
10,104,Soy,30,30000,2026-04-05,Santos,Shanghai
11,105,Wheat,22,22000,2026-04-12,Itaqui,London
12,102,Corn,13,13000,2026-04-18,Paranagua,Hamburg
13,101,Soy,38,38000,2026-04-03,Santos,Shanghai
14,103,Sugar,14,14000,2026-04-10,Rio Grande,Rotterdam
15,104,Soy,32,32000,2026-04-18,Santos,Shanghai
